Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.206.9,Occitanie,2018-01-23T19:43:06.229Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.236.63,Nouvelle-Aquitaine,2018-01-22T19:53:17.963Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.236.63,Nouvelle-Aquitaine,2018-01-16T20:25:05.291Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.250.119,Nouvelle-Aquitaine,2018-01-11T19:36:23.462Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,87.231.187.57,Auvergne-Rhône-Alpes,2018-01-08T17:00:09.579Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,77.136.41.78,Île-de-France²,2018-01-08T15:56:55.833Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,87.231.187.57,Auvergne-Rhône-Alpes,2018-01-07T20:07:15.095Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,87.231.187.57,Auvergne-Rhône-Alpes,2018-01-06T15:01:38.774Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,77.136.83.109,Brittany,2017-12-30T22:37:16.376Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,87.231.187.57,Auvergne-Rhône-Alpes,2017-12-30T20:14:25.910Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.235.182,Nouvelle-Aquitaine,2017-12-20T13:43:46.698Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.111.82,Nouvelle-Aquitaine,2017-12-17T14:43:27.111Z
NFAPPL-01-IPAD5=3-A90DAD9F9C864F2A9B798D689F10BFA801E022D2D1D1D7832CA6877BFFCBCE59,FR,iPad Air 2 WiFi,iPad Air 2 WiFi,2a01:cb19:6b3:300:548:78da:dcf1:6e7e,Nouvelle-Aquitaine,2017-12-17T07:14:03.067Z
NFAPPL-01-IPAD5=3-A90DAD9F9C864F2A9B798D689F10BFA801E022D2D1D1D7832CA6877BFFCBCE59,FR,iPad Air 2 WiFi,iPad Air 2 WiFi,2a01:cb19:6b3:300:548:78da:dcf1:6e7e,Nouvelle-Aquitaine,2017-12-17T01:02:32.311Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.106.111,Occitanie,2017-11-29T14:35:27.283Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,87.231.187.57,Auvergne-Rhône-Alpes,2017-11-08T14:02:10.856Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,2a01:cb19:6b3:300:9cef:1672:3b86:34c,Nouvelle-Aquitaine,2017-11-02T22:56:39.705Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,2a01:cb19:6b3:300:9cef:1672:3b86:34c,Nouvelle-Aquitaine,2017-11-02T12:19:25.321Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,87.231.187.57,Auvergne-Rhône-Alpes,2017-10-27T18:25:34.721Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,87.231.187.57,Auvergne-Rhône-Alpes,2017-10-24T15:52:17.295Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,87.231.187.57,Auvergne-Rhône-Alpes,2017-10-24T13:45:46.741Z
SSTV-NVT2-0000000000000003627535,FR,Samsung 2014 Novatek UHD TV,Samsung 2014 Novatek UHD TV,87.231.187.57,Auvergne-Rhône-Alpes,2017-10-24T11:49:29.381Z
NFPS4-001-5TC5ZMWW7Q074D6AL5EFK6CKGW,FR,Sony PS4,Sony PS4,109.15.83.237,Grand-Est,2017-10-23T20:19:49.938Z
SSTV-NVT2-0000000000000003627535,FR,Samsung 2014 Novatek UHD TV,Samsung 2014 Novatek UHD TV,109.15.83.237,Grand-Est,2017-10-23T17:57:42.608Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,109.15.83.237,Grand-Est,2017-10-20T19:37:22.363Z
